,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2877,110/09/10,"16,740,439","10,365,721,937",615.00,623.00,614.00,622.00,+3.00,"17,067"
2878,110/09/13,"15,809,768","9,734,528,161",619.00,620.00,613.00,615.00,-7.00,"21,779"
2879,110/09/14,"16,024,935","9,849,961,184",618.00,618.00,612.00,613.00,-2.00,"13,569"
2880,110/09/15,"26,041,452","15,872,971,715",610.00,613.00,607.00,607.00,-6.00,"24,839"
2881,110/09/16,"23,315,040","14,030,697,248",603.00,607.00,599.00,600.00,X0.00,"31,437"
2882,110/09/17,"42,383,815","25,510,152,115",600.00,610.00,599.00,600.00, 0.00,"18,681"
2883,110/09/22,"42,732,169","25,056,693,727",586.00,589.00,583.00,586.00,-14.00,"70,389"
2884,110/09/23,"22,736,266","13,406,035,166",588.00,593.00,588.00,588.00,+2.00,"22,991"
2885,110/09/24,"17,302,848","10,289,114,839",591.00,598.00,590.00,598.00,+10.00,"15,796"
2886,110/09/27,"20,034,221","11,993,300,562",600.00,602.00,593.00,602.00,+4.00,"16,349"
2887,110/09/28,"17,325,896","10,291,543,822",595.00,596.00,592.00,594.00,-8.00,"16,496"
2888,110/09/29,"51,834,124","30,040,354,500",580.00,583.00,577.00,580.00,-14.00,"95,024"
2889,110/09/30,"36,318,623","21,054,651,328",580.00,585.00,575.00,580.00, 0.00,"32,973"
2890,110/10/01,"39,006,124","22,368,447,571",579.00,579.00,571.00,574.00,-6.00,"78,088"
2891,110/10/04,"22,288,138","12,741,914,919",574.00,575.00,569.00,572.00,-2.00,"42,147"
2892,110/10/05,"36,063,650","20,406,526,124",562.00,572.00,560.00,572.00, 0.00,"56,678"
2893,110/10/06,"33,989,379","19,345,468,774",573.00,574.00,565.00,571.00,-1.00,"53,606"
2894,110/10/07,"28,480,400","16,458,019,782",575.00,582.00,572.00,580.00,+9.00,"23,304"
2895,110/10/08,"22,601,904","13,051,944,932",582.00,583.00,573.00,575.00,-5.00,"24,157"
2896,110/10/12,"27,126,088","15,455,194,493",570.00,575.00,564.00,575.00, 0.00,"32,210"
2897,110/10/13,"19,267,437","11,006,807,040",572.00,575.00,570.00,571.00,-4.00,"18,050"
2898,110/10/14,"14,270,641","8,213,170,376",579.00,579.00,573.00,573.00,+2.00,"14,814"
2899,110/10/15,"55,305,252","32,878,638,999",592.00,600.00,586.00,600.00,+27.00,"61,088"
2900,110/10/18,"19,753,943","11,802,365,489",604.00,604.00,590.00,590.00,-10.00,"21,353"
2901,110/10/19,"18,709,936","11,196,540,994",598.00,600.00,593.00,600.00,+10.00,"20,482"
2902,110/10/20,"17,537,878","10,527,701,553",603.00,604.00,597.00,598.00,-2.00,"16,410"
2903,110/10/21,"16,882,324","10,116,911,921",602.00,603.00,595.00,596.00,-2.00,"17,599"
2904,110/10/22,"14,236,279","8,520,299,817",600.00,602.00,594.00,600.00,+4.00,"12,812"
2905,110/10/25,"17,724,968","10,518,554,968",597.00,597.00,590.00,593.00,-7.00,"16,139"
2906,110/10/26,"27,047,187","16,169,131,795",595.00,600.00,593.00,599.00,+6.00,"13,081"
2907,110/10/27,"16,260,278","9,708,715,733",598.00,599.00,594.00,599.00, 0.00,"12,042"
